epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,4245.74,0.69614,0.41381,0.89751,0.90553,0.58536,0.64037,0.45421,0.84895,0.43716,0.92377,0.000315687,0.000315687,0.000315687
153,4274.14,0.69365,0.41065,0.89671,0.89857,0.58959,0.64228,0.45543,0.85274,0.43808,0.92247,0.0003095,0.0003095,0.0003095
154,4302.54,0.69513,0.40929,0.88832,0.91686,0.57424,0.64028,0.45841,0.84362,0.43373,0.92102,0.000303313,0.000303313,0.000303313
155,4332.89,0.70819,0.415,0.89454,0.93058,0.58243,0.64562,0.46524,0.84518,0.43108,0.91928,0.000297125,0.000297125,0.000297125
156,4361.94,0.6874,0.4077,0.88795,0.9184,0.59775,0.64601,0.44683,0.84883,0.43383,0.91948,0.000290937,0.000290937,0.000290937
157,4389.85,0.68772,0.40512,0.88913,0.90209,0.61077,0.64024,0.4523,0.85521,0.43519,0.92238,0.00028475,0.00028475,0.00028475
158,4417.35,0.68993,0.3995,0.89131,0.91333,0.59077,0.62926,0.44486,0.85475,0.43702,0.92159,0.000278562,0.000278562,0.000278562
159,4445.36,0.68265,0.40041,0.89243,0.90898,0.59144,0.63012,0.44319,0.85359,0.4386,0.9238,0.000272375,0.000272375,0.000272375
160,4474.31,0.6801,0.39906,0.88657,0.91753,0.58902,0.64038,0.45204,0.84933,0.42821,0.92283,0.000266187,0.000266187,0.000266187
161,4502.75,0.69865,0.41033,0.88632,0.90288,0.59247,0.62855,0.44339,0.84728,0.43171,0.91918,0.00026,0.00026,0.00026
162,4530.52,0.68628,0.39995,0.88549,0.90141,0.58883,0.62581,0.44728,0.85127,0.43649,0.92236,0.000253812,0.000253812,0.000253812
163,4558.54,0.66051,0.38874,0.88198,0.88271,0.60737,0.63372,0.44435,0.85115,0.43133,0.92441,0.000247625,0.000247625,0.000247625
164,4586.12,0.6718,0.39729,0.8879,0.87874,0.6082,0.62999,0.45377,0.85234,0.43507,0.9251,0.000241438,0.000241438,0.000241438
165,4613.69,0.68557,0.40605,0.89314,0.91586,0.57965,0.64264,0.45887,0.84584,0.43162,0.92287,0.00023525,0.00023525,0.00023525
166,4642.95,0.67549,0.39705,0.88045,0.89481,0.60019,0.64282,0.45798,0.84484,0.43088,0.92135,0.000229063,0.000229063,0.000229063
167,4670.39,0.70314,0.40783,0.89548,0.92496,0.58552,0.64999,0.45878,0.8543,0.43189,0.92526,0.000222875,0.000222875,0.000222875
168,4698.84,0.67286,0.39538,0.88645,0.90752,0.59693,0.64451,0.45627,0.84529,0.42728,0.92221,0.000216688,0.000216688,0.000216688
169,4726.34,0.67224,0.39575,0.88592,0.8885,0.61066,0.6434,0.45591,0.85173,0.42766,0.92613,0.0002105,0.0002105,0.0002105
